ProjectName :CCSES-CT-Universe,,,
,,,
FileType,Total Files Count,Total Lines Count,
112,GL.DTL.txt,67,CCSES-CT-Universe
113,GL.TEMP.txt,13,CCSES-CT-Universe
114,GP.TEMP.txt,10,CCSES-CT-Universe
115,GS.FLE.txt,24,CCSES-CT-Universe
116,GSSM.FLE.txt,9,CCSES-CT-Universe
117,GU.HIST.TEMP.txt,14,CCSES-CT-Universe
118,GU.HIST.txt,27,CCSES-CT-Universe
119,GURA.TEMP.txt,10,CCSES-CT-Universe
120,HO.FLE.txt,7,CCSES-CT-Universe
121,HO.HDR.txt,3,CCSES-CT-Universe
122,I1.FLE.txt,70,CCSES-CT-Universe
123,I2.FLE.txt,70,CCSES-CT-Universe
124,IC.FLE.txt,40,CCSES-CT-Universe
125,IF2000.TEMP.txt,16,CCSES-CT-Universe
126,IF2010.TEMP.txt,5,CCSES-CT-Universe
127,IF2020.TEMP.txt,21,CCSES-CT-Universe
128,IF2510.TEMP.txt,26,CCSES-CT-Universe
129,IF2530.TEMP.txt,12,CCSES-CT-Universe
130,IF2550.TEMP.txt,18,CCSES-CT-Universe
131,IF2650.ERR.TEMP.txt,12,CCSES-CT-Universe
132,IF2650.UPDT.TEMP.txt,25,CCSES-CT-Universe
133,IF2900.TEMP.txt,16,CCSES-CT-Universe
134,IF3170.TEMP.txt,56,CCSES-CT-Universe
135,IF3172.TEMP.txt,63,CCSES-CT-Universe
136,IF3212.TEMP.txt,19,CCSES-CT-Universe
137,IF3400.TEMP.txt,93,CCSES-CT-Universe
138,IF3610.TEMP.txt,8,CCSES-CT-Universe
139,IF3650.TEMP.txt,17,CCSES-CT-Universe
140,IF3900.TEMP.txt,45,CCSES-CT-Universe
141,IF3910.TEMP.txt,21,CCSES-CT-Universe
142,IF3920.TEMP.txt,34,CCSES-CT-Universe
143,IF3940.TEMP.txt,17,CCSES-CT-Universe
144,IF3950.TEMP.txt,8,CCSES-CT-Universe
145,IF4000.TEMP.txt,54,CCSES-CT-Universe
146,IF5210.TEMP.txt,1,CCSES-CT-Universe
147,IF9040.TEMP.txt,31,CCSES-CT-Universe
148,IF9041.TEMP.txt,13,CCSES-CT-Universe
149,IF9041.WORK.txt,12,CCSES-CT-Universe
150,IF9042.TEMP.txt,13,CCSES-CT-Universe
151,IF9050.TEMP.txt,35,CCSES-CT-Universe
152,IF9200.TEMP.txt,8,CCSES-CT-Universe
153,IN.FLE.txt,90,CCSES-CT-Universe
154,IR.AR.HDR.txt,31,CCSES-CT-Universe
155,IR.HDR.txt,31,CCSES-CT-Universe
156,IR3999.TEMP.txt,22,CCSES-CT-Universe
157,IR9200.TEMP.txt,19,CCSES-CT-Universe
158,IR9300.TEMP.txt,4,CCSES-CT-Universe
159,IR9500.ADDR.ERR.TEMP.txt,10,CCSES-CT-Universe
160,IR9500.ADDR.TEMP.txt,10,CCSES-CT-Universe
161,IR9500.ADJ.TEMP.txt,21,CCSES-CT-Universe
